,vaxView,year,value,lowerLimit,upperLimit,sampleSize,confidenceInterval,demographicClass,upperError,lowerError
51,0.0,2002,79.0,0.7321237993596584,0.821155943293348,0.015050983771362917,0.1461038961038961,0.0,0.16091954022988514,0.11111111111111129
52,0.0,2013,74.3,0.6424759871931698,0.8004362050163577,0.004538273732586529,0.2532467532467533,0.0,0.26819923371647514,0.20048309178743953
53,0.6666666666666666,2011,47.9,0.4172892209178229,0.47437295528898593,0.04236679592129829,0.10714285714285712,0.0,0.1340996168582378,0.07246376811594202
54,0.0,2011,75.0,0.39807897545357523,0.9193020719738279,0.0006893580353295993,0.8409090909090907,0.7499999999999999,0.6590038314176246,0.7705314009661836
55,0.0,2006,75.6,0.6414087513340447,0.8244274809160306,0.004107424960505529,0.288961038961039,0.16666666666666669,0.302681992337165,0.2342995169082126
56,0.0,2005,88.8,0.8025613660618998,0.9356597600872409,0.003820192445784863,0.20129870129870128,0.16666666666666669,0.18773946360153276,0.1884057971014492
57,0.6666666666666666,2013,16.4,0.07043756670224119,0.15594329334787352,0.00752549188568146,0.1590909090909091,0.16666666666666669,0.22222222222222235,0.09661835748792273
58,0.0,2011,78.5,0.6616862326574173,0.8571428571428572,0.006951026856240127,0.3051948051948052,0.7499999999999999,0.3065134099616858,0.2584541062801933
59,0.0,2008,88.7,0.7449306296691569,0.9509269356597603,0.0011489300588826655,0.2987012987012987,0.16666666666666669,0.2452107279693488,0.316425120772947
60,0.0,2014,77.4,0.7225186766275348,0.7993456924754635,0.027516874910239842,0.1266233766233766,0.0,0.1455938697318006,0.09420289855072475
61,0.0,1999,59.3,0.3970117395944504,0.721919302071974,0.0004595720235530662,0.5259740259740259,0.3333333333333333,0.5670498084291191,0.3937198067632849
63,0.0,1998,73.3,0.6691568836712914,0.7644492911668485,0.007669108143041792,0.1558441558441558,0.0,0.1800766283524905,0.11594202898550716
64,0.0,2010,54.2,0.4685165421558164,0.5583424209378408,0.0353870458135861,0.1558441558441558,0.0,0.18773946360153249,0.10869565217391321
65,0.0,2014,66.4,0.5773745997865528,0.7066521264994547,0.0075829383886255935,0.211038961038961,0.0,0.24137931034482743,0.15700483091787454
66,0.0,2014,87.1,0.7331910352187834,0.9367502726281351,0.0012350998132988657,0.30194805194805197,0.08333333333333333,0.256704980842912,0.3043478260869564
67,0.6666666666666666,2018,13.0,0.027748132337246524,0.14394765539803708,0.004222317966393796,0.2045454545454545,0.25,0.31034482758620696,0.11111111111111117
69,0.0,2015,93.6,0.8826040554962647,0.965103598691385,0.006319115323854661,0.12337662337662336,0.0,0.10727969348659047,0.12318840579710132
71,0.6666666666666666,2010,39.5,0.2785485592315902,0.4416575790621593,0.004624443487002729,0.2727272727272727,0.3333333333333333,0.3409961685823757,0.18357487922705315
72,0.3333333333333333,2016,43.2,0.33191035218783355,0.4591057797164667,0.016429699842022118,0.21428571428571425,0.0,0.2605363984674328,0.15217391304347835
73,0.0,2003,92.0,0.8612593383137674,0.9541984732824429,0.00427976446933793,0.13961038961038957,0.7499999999999999,0.13026819923371666,0.13285024154589373
74,0.0,2005,41.8,0.31163287086446106,0.4536532170119957,0.005342524773804395,0.23701298701298698,0.0,0.2950191570881227,0.16425120772946852
75,0.0,2006,59.3,0.37673425827107787,0.7382769901853873,0.00014361625736033308,0.5844155844155843,0.25,0.6245210727969353,0.4396135265700483
76,0.0,2016,62.1,0.41942369263607254,0.7524536532170121,0.001579778830963665,0.5357142857142856,0.3333333333333333,0.5670498084291189,0.4106280193236716
77,0.0,2000,76.2,0.7033084311632871,0.7917121046892039,0.00896165445928479,0.1461038961038961,0.0,0.164750957854406,0.10869565217391301
78,0.3333333333333333,2014,63.0,0.5656350053361793,0.6477644492911668,0.015309493034611517,0.1753246753246753,0.0,0.164750957854406,0.10144927536231889
79,0.3333333333333333,2016,37.6,0.224119530416222,0.46346782988004365,0.002958494901622864,0.4935064935064935,0.49999999999999994,0.49042145593869735,0.26086956521739135
80,0.0,2004,58.7,0.5229455709711847,0.6008724100327154,0.04090191009622289,0.13636363636363635,0.0,0.164750957854406,0.09420289855072475
81,0.0,2000,98.4,0.9615795090715047,0.9956379498364232,0.005371248025276462,0.04220779220779221,0.3333333333333333,0.03065134099616847,0.06038647342995203
82,0.6666666666666666,2016,60.3,0.3447171824973319,0.7775354416575792,0.0009765905500502656,0.7142857142857142,0.8333333333333333,0.7241379310344831,0.536231884057971
